1,"hey"
1,"hello jarvis"
1,"hey jarvis"
1,"hi jarvis"
1,"good morning jarvis"
2,"open youtube and play some music and enjoy"
2,"open youtube"
2,"play some music using youtube"
2,"please open youtube"
2,"open youtube"
2,"jarvis can you show me a video on cooking"
2,"jarvis i need you to show me some videos on deep learning"
2,"i want to listen to the song blank space by taylor swift"
2,"i need music jarvis"
3,"set an alarm for me"
3,"set an alarm at 12 o clock"
3,"hey jarvis can you set an alarm for me"
3,"jarvis i need to set an alarm"
3,"jarvis can you wake me up at 12"
3,"i need you to wake me up at 12 jarvis"
4,"remind me to wake up my kids on thursday at 5 am"
4,"jarvis i need you to set a reminder for me"
4,"set a reminder"
4,"jarvis i need a reminder"
4,"jarvis set a reminder about my meeting on friday"
4,"jarvis remind me to take the trash out on monday at 12 pm"
4,"jarvis can you set a reminder for me"
5,"jarvis can you call keshav"
5,"call venky"
5,"jarvis can you call my mom"
5,"jarvis I want to talk with my dad"
